model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,parcel,n_voxels_left,n_voxels_right,mean_pearson_left,mean_pearson_right,lateralization_index,lateralization_pvalue,mean_pearson,model_dir,n_params,n_params_b,log10_n_params,encoding,best_step,best_layer
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Frontal Pole,362,372,0.4206190559697857,0.3862203247218984,0.0343987312478872,3.2181731941883233e-16,0.4031853665634996,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.403419690345842,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Insular Cortex,43,50,0.3556346716069108,0.3631007189555404,-0.0074660473486296,0.3430096277142258,0.3596486755577869,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3593676952812256,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Superior Frontal Gyrus,291,216,0.4594492355151172,0.4223383905859851,0.037110844929132,1.500904220332397e-12,0.4436386980305165,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.44089381305055114,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Middle Frontal Gyrus,290,263,0.4374217172575413,0.3980288945977198,0.0393928226598215,1.8156644607163374e-14,0.4186869751969028,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4177253059276306,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Inferior Frontal Gyrus, pars triangularis",110,79,0.4856534041000683,0.46054391104697,0.0251094930530982,0.0033943775886174,0.4751579017127945,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.47309865757351915,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Inferior Frontal Gyrus, pars opercularis",91,79,0.4562957245576318,0.4192677622894656,0.0370279622681661,3.409780491011294e-08,0.4390886126800722,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4377817434235487,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Precentral Gyrus,36,41,0.4376042360249241,0.4490633982580196,-0.0114591622330955,0.4155829245674335,0.4437058678633257,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.44333381714147185,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Temporal Pole,103,94,0.4244771573600371,0.4444934302215032,-0.0200162728614661,0.0126304341262925,0.4340280692837823,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.43448529379077017,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Superior Temporal Gyrus, anterior division",45,38,0.3898847539557691,0.3910750840279129,-0.0011903300721438,0.896380027842122,0.3904297243502445,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.390479918991841,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Superior Temporal Gyrus, posterior division",105,105,0.4266959851289004,0.4418393790278972,-0.0151433938989968,0.0386836805997087,0.4342676820783989,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.43426768207839883,143000,11
